ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
D01CBG,SRP-5051,Duchenne dystrophy,8C70,Phase 2
D01CBE,Ygalo,Multiple myeloma,2A83,Phase 2
D01BVI,V-101,Erythema,ME64.0,Phase 2
D01BDY,Axomadol,Back pain,ME84.Z,Phase 2
D01BAU,SPN-812,Attention deficit hyperactivity disorder,6A05.Z,Phase 2
D01AZP,BNC-105,Mesothelioma,2C51.2,Phase 2
D01ASM,NPC-15199,Inflammation,1A00-CA43.1,Phase 2
D01AIN,Fezakinumab,Psoriasis vulgaris,EA90,Phase 2
D01AHI,Dance-501,Type-1 diabetes,5A10,Phase 2
D01AHI,Dance-501,Type-2 diabetes,5A11,Phase 2
D01AEF,3F8,Solid tumour/cancer,2A00-2F9Z,Phase 2
D01ADH,Evitar,Wound healing,EL8Y,Phase 2
D01AAH,CAR-T cells targeting CD22,Non-hodgkin lymphoma,2B33.5,Phase 2
D00ZLC,NeuroCell-PD,Parkinson disease,8A00.0,Phase 2
D00ZHM,Autologous adipose-derived stem cells,Anal fistula,DB50.1,Phase 2
D00YWL,BMS-936557,Immune System disease,4A01-4B41,Phase 2
D00YPR,CP-547632,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00YPR,CP-547632,Non-small-cell lung cancer,2C25.Y,Phase 2
D00YPR,CP-547632,Ovarian cancer,2C73,Phase 2
D00YLM,TRAXOPRODIL MESYLATE,Neurological disorder,6B60,Phase 2
D00YEV,BAICALEIN,Influenza virus infection,1E30-1E32,Phase 2
D00YER,HM-78136B,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00YER,HM-78136B,Non-small-cell lung cancer,2C25.Y,Phase 2
D00YER,HM-78136B,HER2-positive breast cancer,2C60-2C65,Phase 2
D00XQO,MANOALIDE,Arthritis,FA20,Phase 2
D00XNW,AL-54478,Ocular hypertension,9C61.01,Phase 2
D00XCX,DIFLOMOTECAN,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00WZK,BC-3781 intravenous,Bacterial infection,1A00-1C4Z,Phase 2
D00WMJ,CMC-001,Liver cancer,2C12,Phase 2
D00WME,Conatumumab,Colorectal cancer,2B91.Z,Phase 2
D00WME,Conatumumab,Pain,MG30-MG3Z,Discontinued in Phase 2
D00WHL,Juvidex,Sarcoidosis,4B20.5,Phase 2
D00WCT,EVP-1001-1,Heart disease,BA41-BA42,Phase 2
D00WBN,ALV-003,Coeliac disease,DA95,Phase 2
D00VUG,FF21101,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00VKK,VPI-2690B,Diabetic nephropathy,GB61.Z,Phase 2
D00UYR,IMC-1,Fibromyalgia,MG30.01,Phase 2
D00UWY,RT-001,Acne vulgaris,ED80,Phase 2
D00UWY,RT-001,Friedreich's ataxia,8A03.10,Phase 1/2
D00URZ,LG-740,leukaemia,2A60-2B33,Phase 2
D00UNK,Coltuximab ravtansine,Diffuse large B-cell lymphoma,2A81,Phase 2
D00UNK,Coltuximab ravtansine,Non-hodgkin lymphoma,2B33.5,Phase 2
D00ULY,KAI-9803/ BMS-875944,Reperfusion injury,ND56.Z,Phase 2
D00UKN,Mesenchymal stromal cells,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 2
D00UGX,Cenplacel-L,Rheumatoid arthritis,FA20,Phase 2
D00UFZ,AMG 745,Muscle atrophy,FB32.Y,Phase 2
D00UET,SAR-407899,Microvascular angina,BA86,Phase 2
D00UET,SAR-407899,Diabetic nephropathy,GB61.Z,Phase 2
D00UDP,Terameprocol,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00TUR,LY2495655,Disuse muscle atrophy,8B61,Phase 2
D00TMK,Dengvaxia,Dengue fever,1D2Z,Phase 2
D00TLM,PRUVANSERIN,Sleep-wake disorder,7A00-7B2Z,Phase 2
D00THG,DE-105,Corneal disease,9A78.Z,Phase 2
D00THA,QLT-091001,Restless legs syndrome,7A80,Phase 2
D00THA,QLT-091001,Leber congenital amaurosis,9B70,Phase 1
D00THA,QLT-091001,Retinitis pigmentosa,9B70,Phase 1
D00SWQ,Mitoglitazone,Type-2 diabetes,5A11,Phase 2
D00SWQ,Mitoglitazone,Alzheimer disease,8A20,Phase 2
D00SUK,Tonapofylline,Acute and chronic heart failure,BD1Z,Phase 2
D00SIZ,RG6180,Metastatic melanoma,2E2Z,Phase 2
D00SIZ,RG6180,Solid tumour/cancer,2A00-2F9Z,Phase 1
D00SFN,TUCARESOL,Immune System disease,4A01-4B41,Phase 2
D00SBD,Recoflavone,Inflammatory bowel disease,DD72,Phase 2
D00RYU,IPH-2102,Acute myeloid leukaemia,2A60,Phase 2
D00RWQ,CX157,Mood disorder,6A60-6E23,Phase 2
D00RJB,Rilopirox,Fungal infection,1F29-1F2F,Phase 2
D00QXB,WT1 peptide vaccine,leukaemia,2A60-2B33,Phase 2
D00QVT,ATN-161,Renal cell carcinoma,2C90,Phase 2
D00QOJ,99mTc-RP-128,Diagnostic imaging,N.A.,Phase 2
D00QOF,ORG-13011,Psychotic disorder,6A20-6A25,Phase 2
D00QOF,ORG-13011,Anxiety disorder,6B00-6B0Z,Phase 2
D00QOF,ORG-13011,Major depressive disorder,6A70.3,Application submitted
D00QKS,BMS-954561,Diabetic neuropathy,8C0Z,Phase 2
D00QKI,SCH-527123,Chronic obstructive pulmonary disease,CA22,Phase 2
D00QKI,SCH-527123,Ulcerative colitis,DD71,Phase 2
D00QKI,SCH-527123,Inflammatory bowel disease,DD72,Phase 2
D00QKI,SCH-527123,Solid tumour/cancer,2A00-2F9Z,Phase 1
D00QGV,Human interferon alpha oral,Hepatitis C virus infection,1E51.1,Phase 2
D00PUT,BT-016,Rheumatoid arthritis,FA20,Phase 2
D00PSG,NOX-100,Hypotension,BA20-BA21,Phase 2
D00PJJ,FK-614,Type-2 diabetes,5A11,Phase 2
D00OYQ,Imisopasem manganese,Pain,MG30-MG3Z,Phase 2
D00OYC,Motolimid,Ovarian cancer,2C73,Phase 2
D00OWU,RBP-8000,Cocaine addiction,6C45.2,Phase 2
D00OVC,EVT-201,Insomnia,7A00-7A0Z,Phase 2
D00ORZ,BMS-824393,Hepatitis C virus infection,1E51.1,Phase 2
D00NZL,LY2603618,Pancreatic cancer,2C10,Phase 2
D00NXT,Xmab 5871,Systemic lupus erythematosus,4A40.0,Phase 2
D00NXT,Xmab 5871,IgG4 related disease,4A43.0,Phase 2
D00NXT,Xmab 5871,Autoimmune diabetes,5A10,Phase 2
D00NXT,Xmab 5871,Rheumatoid arthritis,FA20,Phase 1/2
D00NXM,GSK-2251052,Urinary tract infection,GC08,Phase 2
D00NVO,Flezelastine,Asthma,CA23,Phase 2
D00NSD,XL-820,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00NNI,ASP-3652,Overactive bladder,GC50.0,Phase 2
D00NBJ,Remetinostat,Cutaneous T-cell lymphoma,2B01,Phase 2
D00NBJ,Remetinostat,Basal cell carcinoma,2C32,Phase 2
D00NBF,GM06,Amyotrophic lateral sclerosis,8B60.0,Phase 2
D00MZK,FK-788,Hypertension,BA00-BA04,Phase 2
D00MXN,MK-3207,Migraine,8A80,Phase 2
D00MTG,SAR279356,Serious infection,1H0Z,Phase 2
D00MHP,SR-2640,Asthma,CA23,Phase 2
D00MBR,Iratumumab,Lymphoma,2A80-2A86,Phase 2
D00LSW,VA-111913,Dysmenorrhea,GA34.3,Phase 2
D00LSI,Vidofludimus,Inflammatory bowel disease,DD72,Phase 2
D00LSI,Vidofludimus,Rheumatoid arthritis,FA20,Phase 2
D00LJF,INT0001/2004,Hypertension,BA00-BA04,Phase 2
D00LHI,BAY 794980,Discovery agent,N.A.,Phase 2
D00LGA,NN-8226,Psoriasis vulgaris,EA90,Phase 2
D00KXO,Ciraparantag,"Harmful effects of drugs, medicaments or biological substances",NE60,Phase 2
D00KTV,Salirasib,Lung cancer,2C25.0,Phase 2
D00KTV,Salirasib,Non-small-cell lung cancer,2C25.Y,Discontinued in Phase 2
D00KTV,Salirasib,Pancreatic cancer,2C10,Discontinued in Phase 1/2
D00KQN,PEGylated pitrakinra,Asthma,CA23,Phase 2
D00KQN,PEGylated pitrakinra,Allergy,4A80-4A85,Investigative
D00KIE,Ensaculin hydrochloride,Parkinson disease,8A00.0,Phase 2
D00KHD,TAK-128,Diabetic neuropathy,8C0Z,Phase 2
D00JJG,RAP101,Human immunodeficiency virus infection,1C62,Phase 2
D00JFE,ARN-810,Breast cancer,2C60-2C65,Phase 2
D00JED,AN-2898,Atopic dermatitis,EA80,Phase 2
D00IZY,DCN01,Ocular infection,1F00.1,Phase 2
D00IZD,DVC1-0101,Arteriosclerosis,BD40,Phase 2
D00IYB,Maraciclatide,Breast cancer,2C60-2C65,Phase 2
D00IUD,K-832,Rheumatoid arthritis,FA20,Phase 2
D00ISN,MT-1303,Multiple sclerosis,8A40,Phase 2
D00ISN,MT-1303,Crohn disease,DD70,Phase 2
D00IQH,RQ-00000007 (oral),Pain,MG30-MG3Z,Phase 2
D00IJM,EPI-A0001,Friedreich's ataxia,8A03.10,Phase 2
D00IDR,Phenylalanine hydroxylase,Autoimmune diabetes,5A10,Phase 2
D00ICY,FP-187,Autoimmune diabetes,5A10,Phase 2
D00ICD,SH-529,Peripheral vascular disease,BD4Z,Phase 2
D00HYK,AFN-1252,Staphylococcus infection,1B5Y,Phase 2
D00HUZ,NDDP,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00HTO,Apomine,Osteopetrosis,LD24.10,Phase 2
D00HQE,Ty800,Infectious disease,1A00-CA43.1,Phase 2
D00HMZ,TV1-Kidney-1,Renal cell carcinoma,2C90,Phase 2
D00HDB,AC-105,Spinal cord injury,ND51.2,Phase 2
D00GXL,PBT-2,Huntington disease,8A01.10,Phase 2
D00GXL,PBT-2,Alzheimer disease,8A20,Phase 2
D00GOH,HepeX-B,Hepatitis virus infection,1E50-1E51,Phase 2
D00GJK,Depigoid birch pollen extract vaccine,Allergic conjunctivitis,9A60.02,Phase 2
D00GIR,DAC-060,Keratosis,ED56,Phase 2
D00GHG,VAX-102,Influenza A virus infection,1E30,Phase 2
D00GFV,Leridistim,Immune System disease,4A01-4B41,Phase 2
D00FZZ,PEG-FGF-21,Type-2 diabetes,5A11,Phase 2
D00FMW,TIM ETEC vaccine,Diarrhea,ME05.1,Phase 2
D00FJQ,Leucine + metformin,Type-2 diabetes,5A11,Phase 2
D00FHR,MGCD-0103,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00FHR,MGCD-0103,Non-small-cell lung cancer,2C25.Y,Phase 2
D00FHR,MGCD-0103,Diffuse large B-cell lymphoma,2A81,Phase 1/2
D00FHR,MGCD-0103,Melanoma,2C30,Phase 1
D00FBC,KHK-6188,Neuropathic pain,8E43.0,Phase 2
D00EVP,Simenepag isopropyl,Ocular hypertension,9C61.01,Phase 2
D00ERV,Gallopamil,Asthma,CA23,Phase 2
D00ERV,Gallopamil,Hypertension,BA00-BA04,Discontinued in Phase 1
D00EPT,E7850,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00EMB,GSK-1247446A,Influenza virus infection,1E30-1E32,Phase 2
D00EJP,GSK2339345,Cough,MD12,Phase 2
D00EGN,ETX-9101,Asthma,CA23,Phase 2
D00EFO,Interferon alpha-2b,Hepatitis C virus infection,1E51.1,Phase 2
D00DYK,Lunacalcipol,Psoriasis vulgaris,EA90,Phase 2
D00DSV,Polynoma-1,Melanoma,2C30,Phase 2
D00DPP,CYCLOPLATAM,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00DAE,Carboxyamidotriazole orotate,Glioblastoma multiforme,2A00.0,Phase 2
D00CVJ,Neu-P11,Dementia,6D80-6D86,Phase 2
D00CVJ,Neu-P11,Insomnia,7A00-7A0Z,Phase 2
D00CVJ,Neu-P11,Alzheimer disease,8A20,Phase 2
D00CTZ,MEDI9929,Asthma,CA23,Phase 2
D00CSA,LFF-269,Hypertension,BA00-BA04,Phase 2
D00CQQ,TGFK09SD,Hypoactive sexual desire dysfunction,HA00,Phase 2
D00CQI,Indatuximab ravtansine,Multiple myeloma,2A83,Phase 2
D00CPQ,RemoSynch,Pulmonary arterial hypertension,BB01.0,Phase 2
D00BZS,Gimatecan,Breast cancer,2C60-2C65,Phase 2
D00BWF,AGN-XX/YY,Diabetic nephropathy,GB61.Z,Phase 2
D00BWF,AGN-XX/YY,Fibromyalgia,MG30.01,Phase 2
D00BUR,ICA-17043,Alzheimer disease,8A20,Phase 2
D00BUR,ICA-17043,Constitutional neutropenia,4B00.0,Discontinued in Phase 2
D00BUO,MM-141,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00BUO,MM-141,Pancreatic cancer,2C10,Phase 2
D00BOY,CP-18770,Non-hodgkin lymphoma,2B33.5,Phase 2
D00AYA,BMS-188797,Solid tumour/cancer,2A00-2F9Z,Phase 2
D00AVH,VEN100,Bacterial infection,1A00-1C4Z,Phase 2
D00AUX,MSDC-0602,Type-2 diabetes,5A11,Phase 2
D00AUC,(99M)-TC-CPI,Diagnostic imaging,N.A.,Phase 2
D00ARS,MER-3001,Type-1 diabetes,5A10,Phase 2
D00ARS,MER-3001,Type-2 diabetes,5A11,Phase 2
D00ALJ,Placental expanded stem cell therapy,Peripheral vascular disease,BD4Z,Phase 2
D00AKV,F-351,Liver disease,DB90-BD99,Phase 2
D00AKR,AMG 479,Breast cancer,2C60-2C65,Phase 2
D00AKQ,O-desulfated heparin,Chronic obstructive pulmonary disease,CA22,Phase 2
D00AKL,Immunose FLU,Influenza virus infection,1E30-1E32,Phase 2
D00AES,Dicopp,Recurrent glioblastoma,2A00.00,Phase 2
D00ABE,ALD-301,Ischemia,8B10-8B11,Phase 2
D00ABE,ALD-301,Peripheral arterial disease,BD4Z,Phase 2
DE2Z7V,BT1718,Solid tumour/cancer,2A00-2F9Z,Phase 1/2a
D0OK4O,Dalazatide,Inclusion body myositis,4A41.2,Phase 1b/2a
D0OK4O,Dalazatide,Psoriasis vulgaris,EA90,Phase 1b/2a
D0OK4O,Dalazatide,Plaque psoriasis,EA90.0,Phase 1
D01XEO,Debio-0824,Psoriasis vulgaris,EA90,Phase 1b/2a
D01XEO,Debio-0824,Psoriatic arthritis,FA21,Phase 1
D00BPH,COVA322,Psoriasis vulgaris,EA90,Phase 1/2a
DZU9Q5,CAM-101,Keratoconjunctivitis sicca,9A79,Phase 1/2
DZQ32M,TAPA-pulsed dendritic cell vaccine,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DZLH13,AdAPT-001,Aggressive cancer,2A00-2F9Z,Phase 1/2
DZL8S6,DSP-0509,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DZDL28,ALN-XDH,Gout,FA25,Phase 1/2
DZ97RW,4D-310,Fabry disease,5C56.01,Phase 1/2
DZ91HE,OP-1250,Breast cancer,2C60-2C65,Phase 1/2
DZ8FV2,AAV-RPGR,Retinitis pigmentosa,9B70,Phase 1/2
DZ5K6F,GB1275,Pancreatic cancer,2C10,Phase 1/2
DZ40HL,TSHA-120,Giant axonal neuropathy,8C2Y,Phase 1/2
DZ1XV8,LX1004,CLN2 Batten disease,5C56,Phase 1/2
DZ1IL2,MK-1308,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DZ1F3N,CX2029,Aggressive cancer,2A00-2F9Z,Phase 1/2
DZ1F3N,CX2029,Diffuse large B-cell lymphoma,2A81,Phase 1/2
DYWK46,SB-318,Mucopolysaccharidosis,5C56.3,Phase 1/2
DYRC18,ACHM-CNGB3,Achromatopsia,9B70,Phase 1/2
DYM1J4,ASP7517,Myelodysplastic syndrome,2A37,Phase 1/2
DYM1J4,ASP7517,Acute myeloid leukaemia,2A60,Phase 1/2
DYJ0V9,Anti-RAS-G12D mTCR-transduced PBL,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DY9G1D,REGN5459,Multiple myeloma,2A83,Phase 1/2
DY9DX8,SB-913,Mucopolysaccharidosis,5C56.3,Phase 1/2
DY8D2C,LYS-GM-101,GM1 gangliosidosis,5C56.00,Phase 1/2
DY48QG,OTL-203,Mucopolysaccharidosis I,5C56.30,Phase 1/2
DY2UG0,DF1001,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DY21QW,RGX-121,Mucopolysaccharidosis,5C56.3,Phase 1/2
DY13WU,TAS-0728,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DXL38G,CPI-0209,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DXK49H,CFI-402411,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DXJ4B7,LY2880070,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DXAI94,ALMB-0168,Osteosarcoma,2B51,Phase 1/2
DX71CK,QR1123,Retinitis pigmentosa,9B70,Phase 1/2
DX6O9V,TC-210,Cholangiocarcinoma,2C12.10,Phase 1/2
DX6O9V,TC-210,Non-small-cell lung cancer,2C25,Phase 1/2
DX6O9V,TC-210,Peritoneal mesothelioma,2C51.2,Phase 1/2
DX6O9V,TC-210,Ovarian cancer,2C73,Phase 1/2
DX5HW2,isaralgagene civaparvovec,Fabry disease,5C56.01,Phase 1/2
DX3SD2,TRQ-1501,Aggressive cancer,2A00-2F9Z,Phase 1/2
DX3SD2,TRQ-1501,Haematological malignancy,2B33.Y,Phase 1/2
DX2J9R,Ad/PNP,Head and neck cancer,2D42,Phase 1/2
DX0NW9,TAK-754,Haemophilia A,3B10.0,Phase 1/2
DWS5G1,ARO-HBV,Hepatitis B,1E51,Phase 1/2
DWQ6J1,EMB-01,Neoplasm,2A00-2F9Z,Phase 1/2
DWQ6J1,EMB-01,Non-small-cell lung cancer,2C25,Phase 1/2
DW7PT6,SPK-8011,Haemophilia A,3B10.0,Phase 1/2
DVU2Y5,CTX001,Beta thalassemia,3A50.2,Phase 1/2
DVU2Y5,CTX001,Sickle-cell disorder,3A51,Phase 1/2
DVD0E9,Quaratusugene ozeplasmid,Non-small-cell lung cancer,2C25.Y,Phase 1/2
DV7O1M,ProTmune,Refractory hematologic malignancy,2A85.5,Phase 1/2
DV74BT,Samuraciclib,Breast cancer,2C60-2C65,Phase 1/2
DUVH60,NM21-1480,Advanced solid tumour,2A00-2F9Z,Phase 1/2
DUVH60,NM21-1480,Non-small-cell lung cancer,2C25,Phase 1/2
DURD59,SPR720,Mycobacterium infection,1B10-1B21,Phase 1/2
DUOX13,ENB003,Melanoma,2C30,Phase 1/2
DUIA46,SRP-9004,Limb girdle muscular dystrophy,8C70.4,Phase 1/2
DUI59O,NT219,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DUDT78,RVT-1801,Sickle-cell disorder,3A51,Phase 1/2
DU7G5P,XTMAB-16,Sarcoidosis,4B20.5,Phase 1/2
DU6H3C,Allo-APZ2-EB,Epidermolysis bullosa,EC3Z,Phase 1/2
DT8R1L,DS-7300,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DT6EN8,PBCAR20A,Chronic lymphocytic leukaemia,2A82.0,Phase 1/2
DT6EN8,PBCAR20A,Small lymphocytic lymphoma,2A82.0,Phase 1/2
DT6EN8,PBCAR20A,Non-hodgkin lymphoma,2B33.5,Phase 1/2
DT3BA1,CG-806,Acute myeloid leukaemia,2A60,Phase 1/2
DT28NV,AVR-RD-01,Fabry disease,5C56.01,Phase 1/2
DT1R9E,REGN5668,Ovarian cancer,2C73,Phase 1/2
DSP1W2,TmPSMA,Prostate cancer,2C82.0,Phase 1/2
DS7CY4,TPX-0046,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DS6VD0,GS-4224,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DS6MP8,Favezelimab,Non-hodgkin lymphoma,2B33.5,Phase 1/2
DS6C1Y,CybroCell,Intervertebral disc degeneration,FA80,Phase 1/2
DS5C0K,BT5528,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DS53MJ,TC-110,Acute lymphoblastic leukaemia,2A85,Phase 1/2
DS53MJ,TC-110,Non-hodgkin lymphoma,2B33.5,Phase 1/2
DS4JE8,KO-539,Acute myeloid leukaemia,2A60,Phase 1/2
DS41PJ,ARV-471,Breast cancer,2C60-2C65,Phase 1/2
DRF94Z,AIV001,Basal cell carcinoma,2C32,Phase 1/2
DR8JH4,LAVA-1207,Prostate cancer,2C82.0,Phase 1/2
DR7Q5N,REGN5458,Multiple myeloma,2A83,Phase 1/2
DR5VQ1,CYT-0851,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DR5VQ1,CYT-0851,B-cell lymphoma,2A86,Phase 1/2
DR5GC8,MRx-4DP0004,Asthma,CA23,Phase 1/2
DR5F9A,CM24,Aggressive cancer,2A00-2F9Z,Phase 1/2
DQJX34,JS016,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 1/2
DQ84CE,AMG 592,Graft-versus-host disease,4B24,Phase 1/2
DQ62VF,SOBI003,Sanfilippo syndrome,5C56.3Y,Phase 1/2
DQ5V7F,MEDI0457,Oropharyngeal squamous cell carcinoma,2B6A.0,Phase 1/2
DQ43PA,Cetrelimab,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DQ2T3S,HB-201,Squamous cell carcinoma,2B60-2D01,Phase 1/2
DQ1P6X,AZD0466,Hematologic tumour,2B33.Y,Phase 1/2
DQ0I4N,RP-L201,Leukocyte adhesion deficiency type 1,4A00.0Y,Phase 1/2
DPS6V0,SPK-7001,Choroidal dystrophy,9B61,Phase 1/2
DPNT63,AZD7648,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DPN1F0,ADXS-503,Non-small-cell lung cancer,2C25.Y,Phase 1/2
DPG5T9,ACT017,Cerebral ischemia,8B11,Phase 1/2
DP85ES,177Lu-labelled DOTA-JR11,Neuroendocrine cancer,2B72.1,Phase 1/2
DP6J5K,177Lu-labelled PSMA-R2,Prostate cancer,2C82.0,Phase 1/2
DP58GD,BBP-631,Congenital adrenal hyperplasia,5A71.01,Phase 1/2
DP4J2K,MRx0518,Non-small-cell lung cancer,2C25,Phase 1/2
DOS62C,SKB264,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DOL04T,CPCB-RPE1,Dry age-related macular degeneration,9B75,Phase 1/2
DOD24G,Isunakinra,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DO76YM,AGTC-501,Retinitis pigmentosa,9B70,Phase 1/2
DO4K0I,PRGN-2012,Respiratory papillomatosis,2F00.1,Phase 1/2
DNXH76,Eptacog beta,Chronic lymphocytic leukaemia,2A82.0,Phase 1/2
DNXH76,Eptacog beta,Mantle cell lymphoma,2A85.5,Phase 1/2
DNXH76,Eptacog beta,Non-hodgkin lymphoma,2B33.5,Phase 1/2
DNC79U,ISB 1302,HER2-positive breast cancer,2C60-2C65,Phase 1/2
DN71VY,TAK-007,Hematologic tumour,2B33.Y,Phase 1/2
DN6YE0,PRGN-2009,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DN4O0S,AXO-AAV-GM1,GM1 gangliosidosis,5C56.00,Phase 1/2
DN2MC5,AUTO1,Acute lymphoblastic leukaemia,2A85,Phase 1/2
DN0A1J,MIB©\626,Alzheimer disease,8A20,Phase 1/2
DMK65T,Longeveron Mesenchymal Stem Cells,Hypoplastic left heart syndrome,LA89.3,Phase 1/2
DMK65T,Longeveron Mesenchymal Stem Cells,Frailty,MG2A,Phase 1/2
DMBQ10,ABTL0812,Pancreatic cancer,2C10,Phase 1/2
DMBG04,ATP128,Colorectal cancer,2B91.Z,Phase 1/2
DM90BJ,AAV-CNGA3,Achromatopsia,9B70,Phase 1/2
DM8Y2N,DZD9008,Non-small-cell lung cancer,2C25,Phase 1/2
DM5X0L,SHR2554,Prostate cancer,2C82.0,Phase 1/2
DM5X0L,SHR2554,Haematopoietic/lymphoid cancer,2B33.5,Phase 1
DM2DE9,SB-728-mR-T,Human immunodeficiency virus-1 infection,1C62,Phase 1/2
DM1FD5,ASTX029,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DM14CQ,HPN328,Small-cell lung cancer,2C25.Y,Phase 1/2
DLK3E1,OTL-201,Mucopolysaccharidosis type IIIA,5C56.3Y,Phase 1/2
DLJQ42,MB-107,Severe combined immunodeficiency,4A01.10,Phase 1/2
DLB34X,GS030,Retinitis pigmentosa,9B70,Phase 1/2
DL73JW,MK-5684,Prostate cancer,2C82.0,Phase 1/2
DL6W8B,Pegtarviliase,Homocystinuria,5C50.B,Phase 1/2
DL6EZ5,AG019,Type-1 diabetes,5A10,Phase 1/2
DL5JN0,HB-AdMSC autologous,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 1/2
DL30JC,FF-10502,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DL1FG3,SAR440234,Acute myeloid leukaemia,2A60,Phase 1/2
DL1FG3,SAR440234,leukaemia,2A60-2B33,Phase 1/2
DKM90C,SP0173,Pertussis,1C12,Phase 1/2
DKM90C,SP0173,Tetanus,1C13,Phase 1/2
DKM90C,SP0173,Diphtheria,1C17,Phase 1/2
DK8QG3,AFM24,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DK6J7M,NC410,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DK65RJ,IDCT,Intervertebral disc degeneration,FA80,Phase 1/2
DK3U6C,BMN 250,Mucopolysaccharidosis type IIIB,5C56.3Y,Phase 1/2
DK3QD9,ORIN1001,Metastatic breast cancer,2C6Y,Phase 1/2
DK0S5Y,PEC-Direct,Type-1 diabetes,5A10,Phase 1/2
DK0B7G,INZ-701,Hypophosphatemic rickets,5C63.22,Phase 1/2
DK0B7G,INZ-701,Pseudoxanthoma elasticum,EC40,Phase 1/2
DJN3E2,mRNA-3704,Methylmalonic acidemia,5C50.E0,Phase 1/2
DJMK69,Xanamem,Alzheimer disease,8A20,Phase 1/2
DJA64B,TC-510,Breast cancer,2C60-2C65,Phase 1/2
DJA64B,TC-510,Ovarian cancer,2C73,Phase 1/2
DJ8TN2,HL-085,Melanoma,2C30,Phase 1/2
DJ6AW5,CT-041,Gastric cancer,2B72,Phase 1/2
DJ5I6L,SPK-8016,Haemophilia A,3B10.0,Phase 1/2
DJ1W5R,ZN-c5,Breast cancer,2C60-2C65,Phase 1/2
DIY4C2,CCS1477,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DIOB35,NCS-01,Ischemic stroke,8B11.5Z,Phase 1/2
DIM79Y,VGH©\AD1,Alzheimer disease,8A20,Phase 1/2
DIM2B6,NT-17,Idiopathic CD4+ lymphocytopenia,4A00.2,Phase 1/2
DILZ67,HB-202,Squamous cell carcinoma,2B60-2D01,Phase 1/2
DID20W,ACT 001,Glioblastoma multiforme,2A00.0,Phase 1/2
DI1VM3,HM43239,Acute myeloid leukaemia,2A60,Phase 1/2
DI0ZA3,Enapotamab vedotin,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DHX7S8,ZX-101A,Chronic lymphocytic leukaemia,2A82.0,Phase 1/2
DH40QT,SB-FIX,Haemophilia B,3B11.0,Phase 1/2
DG30KD,KLS-2031,Lumbo-sacral radiculopathy,8B93.Y,Phase 1/2
DG1ED2,Pepinemab,Squamous head and neck cell carcinom,2D60.0,Phase 1/2
DG1CX7,ABO-101,Mucopolysaccharidosis,5C56.3,Phase 1/2
DFDT39,Anti-RAS-G12V mTCR-transduced PBL,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DF7R6C,AT-GTX-502,CLN3 Batten disease,5C56,Phase 1/2
DF3QH8,IMM-529,Clostridium infection,1A04,Phase 1/2
DF37QR,VE800,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DF0PR6,ZN-e4,Non-small-cell lung cancer,2C25.Y,Phase 1/2
DEXM29,LY3499446,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
DE7N6F,ASTX295,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
